dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,acquisition,n_seeds,mean_response_l2_excess,median_response_l2_excess,mean_final_simple_regret_excess_true,median_final_simple_regret_excess_true,mean_auc_simple_regret_excess_true,median_auc_simple_regret_excess_true,std_auc_simple_regret_excess_true,ci95_low_auc_simple_regret_excess_true,ci95_high_auc_simple_regret_excess_true,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_final_inference_simple_regret_excess_true,acq_opt_failures
stevens,value,exact,slip,20,0.05,ei,5,-0.21167401432482885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.49806500722634,0.0,0
stevens,value,exact,slip,20,0.05,logei,5,-0.010740734414027809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.496957031188993,0.0,0
stevens,value,exact,slip,20,0.05,pi,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.295240897537559,0.0,0
stevens,value,exact,slip,20,0.05,qnei,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.447995434480841,0.0,0
stevens,value,exact,slip,20,0.05,qucb,5,-0.026306571104764375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111036835986742,0.0,0
stevens,value,exact,slip,20,0.05,random,5,0.0,0.0,-0.015833945815829597,0.0,-0.052580025071085855,0.0,2.03093686621655,-1.8010938876279199,1.6433538124146623,-0.0018131043127961543,62.33245510470978,0.0006148775136151308,0
stevens,value,exact,slip,20,0.05,sobol,5,0.0,0.0,-0.02567266339370433,0.0,0.4000325777219601,0.0,1.4019085227030883,-0.6361693721296617,1.4077243098820105,0.013794226817998268,55.29648911208299,0.04108999629257128,0
stevens,value,exact,slip,20,0.05,ucb,5,-0.026269207223474034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.109854252205647,0.0,0
stevens,value,exact,slip,20,0.15,ei,5,-0.310189441348617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.49806500722634,0.0,0
stevens,value,exact,slip,20,0.15,logei,5,-0.03707719209511919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.496957031188993,0.0,0
stevens,value,exact,slip,20,0.15,pi,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.295240897537559,0.0,0
stevens,value,exact,slip,20,0.15,qnei,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.447995434480841,0.0,0
stevens,value,exact,slip,20,0.15,qucb,5,-0.026306571104764375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111036835986742,0.0,0
stevens,value,exact,slip,20,0.15,random,5,0.0,0.0,-0.06315407220124705,-0.0288009683141337,-2.2962158251941744,-0.26879504945235055,4.722808401628833,-6.537284055037832,-0.05375900989047011,-0.07917985604117861,60.08881930458669,0.22923525837548736,0
stevens,value,exact,slip,20,0.15,sobol,5,0.0,0.0,-0.0885275822383357,-0.04134923508588395,-1.591106691631729,0.0,3.4120679378538714,-4.594397824498801,0.37987087921990226,-0.05486574798730117,53.3053498427293,0.058426652898913266,0
stevens,value,exact,slip,20,0.15,ucb,5,-0.026269207223474034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.109854252205647,0.0,0
stevens,value,exact,slip,20,0.4,ei,5,-0.3457188137925906,-0.18402501181448208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.49806500722634,0.0,0
stevens,value,exact,slip,20,0.4,logei,5,-0.016003307206435936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.496957031188993,0.0,0
stevens,value,exact,slip,20,0.4,pi,5,-0.06431072602732153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.295240897537559,0.0,0
stevens,value,exact,slip,20,0.4,qnei,5,0.14378347309336142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.447995434480841,0.0,0
stevens,value,exact,slip,20,0.4,qucb,5,0.2024674116787025,0.26982840083332615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.111036835986742,0.0,0
stevens,value,exact,slip,20,0.4,random,5,0.0,0.0,-0.3473509736512338,-0.2759863598168608,-9.157951001471003,-6.761665815513091,11.29900344119181,-18.790327463247255,-1.8343821708001158,-0.31579141384382775,53.22708412830987,0.6304335888047801,0
stevens,value,exact,slip,20,0.4,sobol,5,0.0,0.0,-0.026348822704542307,0.0,-0.39994901682600953,0.0,4.935237309493909,-4.3416312321592185,3.6984220520242204,-0.01323920372410703,54.49650751753502,0.813126443581007,0
stevens,value,exact,slip,20,0.4,ucb,5,0.05053032707531176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.109854252205647,0.0,0
