iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,missing,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
35,375.39015478692426,-139.61742233521912,136.604218812024,500.0,-0.005819878336086432,-0.005819878336086432,-0.005819878336086432,0.0,False,True,0.0,logei,0.31151309999404475,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,4.334210250114938,125.56410919675272,1.3984184141769678,3.5875459770500777,2.929971957601884,1.3984184141769678,schwefel
36,405.0118605396828,-55.03186902416888,236.18932786602866,457.35971314412757,1.7469870793182876,1.7469870793182876,1.7469870793182876,0.0,False,True,0.0,logei,0.46483839995926246,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,2.581403292460564,128.14551248921327,1.3984184141769678,3.559597569144813,2.929971957601884,1.3984184141769678,schwefel
37,416.9228685634933,-169.33518000188317,210.3493718337814,63.917669886642045,1.558597555696077,1.558597555696077,1.558597555696077,0.0,False,True,0.0,logei,0.4003089999896474,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,2.769792816082775,130.91530530529604,1.3984184141769678,3.538251494737731,2.929971957601884,1.3984184141769678,schwefel
38,408.33460647371083,-320.15028829222297,224.98204344450116,500.0,1.61829345639435,1.61829345639435,1.61829345639435,0.0,False,True,0.0,logei,0.43989300000248477,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,2.7100969153845016,133.62540222068054,1.3984184141769678,3.5164579531758036,2.929971957601884,1.3984184141769678,schwefel
39,212.02952618203747,-177.11710847134998,210.8897137269453,392.7819999453748,1.531053411078381,1.531053411078381,1.531053411078381,0.0,False,True,0.0,logei,0.35450570000102744,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,2.7973369607004708,136.42273918138102,1.3984184141769678,3.498018953368744,2.929971957601884,1.3984184141769678,schwefel
40,500.0,-184.345344473346,211.92506405664705,73.08699717715065,-0.22521829666722665,-0.22521829666722665,-0.22521829666722665,0.0,False,True,0.0,logei,0.5042008999735117,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,4.553608668446079,140.9763478498271,1.3984184141769678,3.5244086962456778,2.929971957601884,1.3984184141769678,schwefel
41,404.2348971911075,-95.15344287494484,241.87917538125868,-122.6872067988413,1.4848986006320242,1.4848986006320242,1.4848986006320242,0.0,False,True,0.0,logei,0.5079164000344463,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,2.8434917711468275,143.81983962097394,1.3984184141769678,3.507800966365218,2.929971957601884,1.3984184141769678,schwefel
42,403.06272726533837,49.63262878420828,213.2017066293337,447.60998073342734,2.4173085669715015,2.4173085669715015,2.4173085669715015,0.0,False,True,0.0,logei,0.42291670001577586,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.929971957601884,1.9110818048073503,145.73092142578128,1.3984184141769678,3.469783843470983,2.929971957601884,1.3984184141769678,schwefel
43,432.4932100381105,410.0617021559417,-4.4763094299332655,437.50090829937443,3.0664156648004584,3.0664156648004584,3.0664156648004584,0.0,False,True,0.0,logei,0.3685063000302762,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,3.0664156648004584,1.2619747069783935,146.99289613275968,1.2619747069783935,3.4184394449478996,3.0664156648004584,1.2619747069783935,schwefel
44,430.42584231147873,364.04031597434573,2.4332075547357963,500.0,0.8074601088761448,0.8074601088761448,0.8074601088761448,0.0,False,True,0.0,logei,0.5450605999794789,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,3.0664156648004584,3.520930262902707,150.5138263956624,1.2619747069783935,3.4207687817196,3.0664156648004584,1.2619747069783935,schwefel
45,404.7267485582885,480.3202577857277,233.6580140538554,500.0,0.8714974729799998,0.8714974729799998,0.8714974729799998,0.0,False,True,0.0,logei,0.4973877999582328,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,3.0664156648004584,3.456892898798852,153.97071929446125,1.2619747069783935,3.4215715398769166,3.0664156648004584,1.2619747069783935,schwefel
46,356.5233651182763,307.9794928964361,103.80386663351672,500.0,-1.388565403388403,-1.388565403388403,-1.388565403388403,0.0,False,True,0.0,logei,0.22845920000690967,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,3.0664156648004584,5.716955775167255,159.6876750696285,1.2619747069783935,3.471471197165837,3.0664156648004584,1.2619747069783935,schwefel
47,438.5609409491037,500.0,-18.534823694422546,-283.0422579705356,1.2163223738883486,1.2163223738883486,1.2163223738883486,0.0,False,True,0.0,logei,0.4771111999871209,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,3.0664156648004584,3.1120679978905033,162.79974306751902,1.2619747069783935,3.463824320585511,3.0664156648004584,1.2619747069783935,schwefel
48,408.8257145893257,-500.0,213.87495961786092,500.0,1.522700784707733,1.522700784707733,1.522700784707733,0.0,False,True,0.0,logei,0.4451804999844171,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,3.0664156648004584,2.805689587071119,165.60543265459015,1.2619747069783935,3.4501131803039615,3.0664156648004584,1.2619747069783935,schwefel
49,442.71146455244843,-34.6807436993452,15.216762718708882,500.0,0.4712746239262662,0.4712746239262662,0.4712746239262662,0.0,False,True,0.0,logei,0.44087170000420883,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,3.0664156648004584,3.8571157478525855,169.46254840244274,1.2619747069783935,3.4584193551518925,3.0664156648004584,1.2619747069783935,schwefel
50,419.22059851859905,500.0,-45.32969851734293,500.0,0.09742075718429483,0.09742075718429483,0.09742075718429483,0.0,False,True,0.0,logei,0.6392525000264868,False,False,11,5895dde6-94b3-45f5-8d39-016744ae9b92,missing_mcar,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,3.0664156648004584,4.2309696145945574,173.6935180170373,1.2619747069783935,3.473870360340746,3.0664156648004584,1.2619747069783935,schwefel
