dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_x0,delta_excess_x1,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true
iso_eggholder,composite,qnei,extra_trees,gaussian,0.781998,0,8,"x0,x1",0.0,0.0,0.0,0.2661999663391943,16.256506778736238,0.3251301355747245,-18.268485259855353
iso_eggholder,composite,qnei,extra_trees,gaussian,3.909988,0,8,"x0,x1",0.0,0.0,0.0,0.5231910444298404,49.710909726138325,0.9942181945227664,0.39143305620599733
iso_eggholder,composite,ucb,extra_trees,gaussian,0.195499,0,8,"x0,x1",0.0,0.0,0.0,-0.4903354968159843,-7.532072031039377,-0.15064144062078766,-17.769553356232237
iso_eggholder,composite,ucb,extra_trees,gaussian,0.781998,0,8,"x0,x1",0.0,0.0,0.0,0.08789306992818924,49.94698694211617,0.9989397388423233,-3.0664197191318934
iso_eggholder,composite,ucb,extra_trees,gaussian,3.909988,0,8,"x0,x1",0.0,0.0,0.0,1.5342175535085154,79.96622974167785,1.5993245948335568,48.01700635416623
iso_eggholder,composite,ei,extra_trees,gaussian,0.195499,0,8,"x0,x1",0.0,0.0,0.0,1.2997523731273963,18.988869077041798,0.37977738154083607,33.12624824934953
iso_eggholder,composite,ei,extra_trees,gaussian,0.781998,0,8,"x0,x1",0.0,0.0,0.0,0.4732198307912361,-25.688501311136335,-0.5137700262227267,-20.119881527501967
iso_eggholder,composite,ei,extra_trees,gaussian,3.909988,0,8,"x0,x1",0.0,0.0,0.0,1.8077214077901564,46.36966134333686,0.9273932268667373,39.510241847541806
iso_eggholder,composite,random,extra_trees,gaussian,0.195499,0,8,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,random,extra_trees,gaussian,0.781998,0,8,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,random,extra_trees,gaussian,3.909988,0,8,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,sobol,extra_trees,gaussian,0.195499,0,8,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,sobol,extra_trees,gaussian,0.781998,0,8,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_eggholder,composite,sobol,extra_trees,gaussian,3.909988,0,8,"x0,x1",0.0,0.0,0.0,0.0,0.0,0.0,0.0
