dataset,objective,acquisition,oracle_model,error_model,jitter_std,jitter_iteration,seed,param_columns,delta_excess_x0,delta_excess_x1,delta_excess_x2,delta_excess_x3,delta_excess_x4,delta_excess_x5,delta_excess_x6,delta_excess_x7,delta_excess_x8,delta_excess_x9,delta_excess_x10,delta_excess_l2_norm,final_simple_regret_excess_true,final_cum_regret_excess_true,final_avg_regret_excess_true,auc_simple_regret_excess_true
iso_levy_10,composite,random,gradient_boosting,gaussian,4.741603,0,10,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_levy_10,composite,sobol,gradient_boosting,gaussian,0.23708,0,10,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_levy_10,composite,sobol,gradient_boosting,gaussian,0.948321,0,10,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_levy_10,composite,sobol,gradient_boosting,gaussian,4.741603,0,10,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_levy_10,composite,logei,gradient_boosting,gaussian,0.23708,0,7,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2461494799872621,-9.235946443883847,-0.18471892887767694,-1.8873284677358342
iso_levy_10,composite,logei,gradient_boosting,gaussian,0.948321,0,7,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17541106620065916,9.293959755751331,0.18587919511502649,-6.675273807049393
iso_levy_10,composite,logei,gradient_boosting,gaussian,4.741603,0,7,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34820435012058937,50.20396378802775,1.004079275760555,3.1797124866597173
iso_levy_10,composite,qnei,gradient_boosting,gaussian,0.23708,0,7,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052354100863091,1.3190969614922352,0.026381939229844775,-0.20664674203659672
iso_levy_10,composite,qnei,gradient_boosting,gaussian,0.948321,0,7,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043320575682545215,27.119731108207205,0.542394622164144,8.985628680489818
iso_levy_10,composite,qnei,gradient_boosting,gaussian,4.741603,0,7,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6855997189887564,126.65766214241837,2.533153242848367,20.59252100401637
iso_levy_10,composite,ucb,gradient_boosting,gaussian,0.23708,0,7,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36710131344178043,-40.38656657047446,-0.8077313314094892,-6.753432929533638
iso_levy_10,composite,ucb,gradient_boosting,gaussian,0.948321,0,7,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022198206920775343,-11.80197440052774,-0.23603948801055497,-6.973566279432724
iso_levy_10,composite,ucb,gradient_boosting,gaussian,4.741603,0,7,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3440330314203002,2.9940257555894334,0.05988051511178849,6.100655140557102
iso_levy_10,composite,ei,gradient_boosting,gaussian,0.23708,0,7,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1461018880919034,8.12795368882108,0.16255907377642176,0.5980328536534998
iso_levy_10,composite,ei,gradient_boosting,gaussian,0.948321,0,7,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3772622402756882,4.759135754995839,0.09518271509991694,-7.906752035743914
iso_levy_10,composite,ei,gradient_boosting,gaussian,4.741603,0,7,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5459592031597977,72.17677935859487,1.4435355871718976,14.792668096198177
iso_levy_10,composite,random,gradient_boosting,gaussian,0.23708,0,7,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_levy_10,composite,random,gradient_boosting,gaussian,0.948321,0,7,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_levy_10,composite,random,gradient_boosting,gaussian,4.741603,0,7,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_levy_10,composite,sobol,gradient_boosting,gaussian,0.23708,0,7,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_levy_10,composite,sobol,gradient_boosting,gaussian,0.948321,0,7,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_levy_10,composite,sobol,gradient_boosting,gaussian,4.741603,0,7,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iso_levy_10,composite,logei,gradient_boosting,gaussian,0.23708,0,9,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1878817391068579,-23.829877266039645,-0.4765975453207931,-1.5278010498143786
iso_levy_10,composite,logei,gradient_boosting,gaussian,0.948321,0,9,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3569360618628057,28.25669865509755,0.5651339731019509,15.795831471572193
iso_levy_10,composite,logei,gradient_boosting,gaussian,4.741603,0,9,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8638407451080838,129.30934110779694,2.586186822155939,29.233614229942937
iso_levy_10,composite,qnei,gradient_boosting,gaussian,0.23708,0,9,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03198936649087836,-20.766907790486016,-0.4153381558097202,-14.318005217137951
