arm,procedure,family,k,error_model,scope,jitter_std,jitter_iteration,n_runs,n_landscapes,claim_rate,claim_rate_lo,claim_rate_hi,false_claim_rate,false_claim_rate_lo,false_claim_rate_hi,false_discovery_share,false_discovery_share_lo,false_discovery_share_hi,power,power_lo,power_hi,size,size_lo,size_hi,truly_better_share,truly_better_share_lo,truly_better_share_hi,clean_claim_rate,shipped_d_share,d_is_c_share
output-boba,confirm_k6,confirmation,6.0,ar1,cell,0.05,0.0,400,20,0.955,0.9075,0.9925,0.0,0.0,0.0,0.0,0.0,0.0,0.9769820971867008,0.9400963268979057,1.0,0.0,0.0,0.0,0.9775,0.955,0.995,0.965,0.9775,0.0
output-boba,confirm_k6,confirmation,6.0,ar1,cell,0.05,20.0,400,20,0.94,0.885,0.9825624999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.9715762273901809,0.9353038470962999,1.0,0.0,0.0,0.0,0.9675,0.9375,0.9925,0.965,0.965,0.0
output-boba,confirm_k6,confirmation,6.0,ar1,cell,0.25,0.0,400,20,0.8775,0.77,0.9575,0.0,0.0,0.0,0.0,0.0,0.0,0.9116883116883117,0.8219731239092496,0.9747490649568734,0.0,0.0,0.0,0.9625,0.93,0.99,0.965,0.9425,0.0025
output-boba,confirm_k6,confirmation,6.0,ar1,cell,0.25,20.0,400,20,0.87,0.775,0.9525,0.0,0.0,0.0,0.0,0.0,0.0,0.9086161879895561,0.8275747432134997,0.9736994317413069,0.0,0.0,0.0,0.9575,0.925,0.9875,0.965,0.935,0.0025
output-boba,confirm_k6,confirmation,6.0,ar1,cell,1.0,0.0,400,20,0.6275,0.515,0.735,0.0025,0.0,0.0075,0.00398406374501992,0.0,0.012659568762068219,0.7309941520467836,0.6166050598112787,0.8348074716307533,0.017241379310344827,0.0,0.06666666666666667,0.855,0.805,0.8975,0.965,0.8225,0.005
output-boba,confirm_k6,confirmation,6.0,ar1,cell,1.0,20.0,400,20,0.6375,0.495,0.7775,0.0025,0.0,0.0075,0.00392156862745098,0.0,0.014354066985645933,0.7215909090909091,0.5945615340110754,0.8320010335917313,0.020833333333333332,0.0,0.06560109289617472,0.88,0.8075,0.945,0.965,0.8725,0.0025
output-boba,confirm_k6,confirmation,6.0,ar1,cell,5.0,0.0,400,20,0.085,0.0575,0.12,0.01,0.0025,0.02,0.11764705882352941,0.02857142857142857,0.2222222222222222,0.1507537688442211,0.09950248756218906,0.20707528654419843,0.01990049751243781,0.0046723538361225815,0.038834951456310676,0.4975,0.4375,0.555,0.965,0.52,0.02
output-boba,confirm_k6,confirmation,6.0,ar1,cell,5.0,20.0,400,20,0.2025,0.0975,0.33,0.01,0.0,0.0225,0.04938271604938271,0.0,0.15384615384615385,0.29277566539923955,0.1422278549490437,0.4498401801271196,0.029197080291970802,0.0,0.06623620309050766,0.6575,0.555,0.7575,0.965,0.6425,0.0025
output-boba,confirm_k6,confirmation,6.0,ar1,pooled,,,3200,20,0.649375,0.574375,0.7137578124999999,0.003125,0.00125,0.005625,0.004812319538017324,0.0018424265137465521,0.008658530476273964,0.765358993338268,0.698997322451038,0.8185496934389357,0.020080321285140562,0.007352941176470588,0.03729879845839944,0.844375,0.8077968750000001,0.8765625,0.965,0.8346875,0.004375
output-boba,confirm_k6,confirmation,6.0,bias,cell,0.05,0.0,400,20,0.945,0.9,0.9825,0.0,0.0,0.0,0.0,0.0,0.0,0.9667519181585678,0.9347215766954192,0.9949238578680203,0.0,0.0,0.0,0.9775,0.9575,0.9925,0.965,0.975,0.0
