dataset,acquisition,seed,error_model,jitter_std,jitter_iteration,variant,budget,k,tolerance,extra,censored,multiplier
branin,logei,8,gaussian,0.05,20,rep10,50,25,0.01,6.0,False,1.24
branin,logei,8,gaussian,0.25,20,rep10,50,10,0.01,6.0,False,1.6
branin,logei,8,gaussian,0.25,20,rep10,50,25,0.01,6.0,False,1.24
branin,logei,8,gaussian,1.0,20,rep10,50,10,0.01,6.0,False,1.6
branin,logei,8,gaussian,1.0,20,rep10,50,25,0.01,6.0,False,1.24
branin,logei,8,gaussian,5.0,20,rep10,50,10,0.01,6.0,False,1.6
branin,logei,8,gaussian,5.0,20,rep10,50,25,0.01,6.0,False,1.24
branin,logei,9,gaussian,0.05,0,rep10,50,10,0.01,2.0,False,1.2
branin,logei,9,gaussian,0.05,0,rep10,50,25,0.01,10.0,False,1.4
branin,logei,9,gaussian,0.25,0,rep10,50,10,0.01,0.0,False,1.0
branin,logei,9,gaussian,0.25,0,rep10,50,25,0.01,38.0,True,2.52
branin,logei,9,gaussian,1.0,0,rep10,50,10,0.01,42.0,True,5.2
branin,logei,9,gaussian,1.0,0,rep10,50,25,0.01,38.0,True,2.52
branin,logei,9,gaussian,5.0,0,rep10,50,10,0.01,42.0,True,5.2
branin,logei,9,gaussian,5.0,0,rep10,50,25,0.01,38.0,True,2.52
branin,logei,9,gaussian,0.05,20,rep10,50,10,0.01,2.0,False,1.2
branin,logei,9,gaussian,0.05,20,rep10,50,25,0.01,10.0,False,1.4
branin,logei,9,gaussian,0.25,20,rep10,50,10,0.01,2.0,False,1.2
branin,logei,9,gaussian,0.25,20,rep10,50,25,0.01,12.0,False,1.48
branin,logei,9,gaussian,1.0,20,rep10,50,10,0.01,2.0,False,1.2
branin,logei,9,gaussian,1.0,20,rep10,50,25,0.01,38.0,True,2.52
branin,logei,9,gaussian,5.0,20,rep10,50,10,0.01,2.0,False,1.2
branin,logei,9,gaussian,5.0,20,rep10,50,25,0.01,15.0,False,1.6
branin,qnei,10,gaussian,0.05,0,rep10,50,10,0.01,0.0,False,1.0
branin,qnei,10,gaussian,0.05,0,rep10,50,25,0.01,12.0,False,1.48
branin,qnei,10,gaussian,0.25,0,rep10,50,10,0.01,0.0,False,1.0
branin,qnei,10,gaussian,0.25,0,rep10,50,25,0.01,32.0,True,2.28
branin,qnei,10,gaussian,1.0,0,rep10,50,10,0.01,0.0,False,1.0
branin,qnei,10,gaussian,1.0,0,rep10,50,25,0.01,30.0,False,2.2
branin,qnei,10,gaussian,5.0,0,rep10,50,10,0.01,0.0,False,1.0
branin,qnei,10,gaussian,5.0,0,rep10,50,25,0.01,28.0,False,2.12
branin,qnei,10,gaussian,0.05,20,rep10,50,10,0.01,0.0,False,1.0
branin,qnei,10,gaussian,0.05,20,rep10,50,25,0.01,6.0,False,1.24
branin,qnei,10,gaussian,0.25,20,rep10,50,10,0.01,0.0,False,1.0
branin,qnei,10,gaussian,0.25,20,rep10,50,25,0.01,6.0,False,1.24
branin,qnei,10,gaussian,1.0,20,rep10,50,10,0.01,0.0,False,1.0
branin,qnei,10,gaussian,1.0,20,rep10,50,25,0.01,13.0,False,1.52
branin,qnei,10,gaussian,5.0,20,rep10,50,10,0.01,0.0,False,1.0
branin,qnei,10,gaussian,5.0,20,rep10,50,25,0.01,32.0,True,2.28
branin,qnei,11,gaussian,0.05,0,rep10,50,10,0.01,0.0,False,1.0
branin,qnei,11,gaussian,0.05,0,rep10,50,25,0.01,16.0,False,1.64
branin,qnei,11,gaussian,0.25,0,rep10,50,10,0.01,4.0,False,1.4
branin,qnei,11,gaussian,0.25,0,rep10,50,25,0.01,21.0,False,1.84
branin,qnei,11,gaussian,1.0,0,rep10,50,10,0.01,2.0,False,1.2
branin,qnei,11,gaussian,1.0,0,rep10,50,25,0.01,35.0,False,2.4
branin,qnei,11,gaussian,5.0,0,rep10,50,10,0.01,18.0,False,2.8
branin,qnei,11,gaussian,5.0,0,rep10,50,25,0.01,37.0,True,2.48
branin,qnei,11,gaussian,0.05,20,rep10,50,10,0.01,4.0,False,1.4
branin,qnei,11,gaussian,0.05,20,rep10,50,25,0.01,7.0,False,1.28
branin,qnei,11,gaussian,0.25,20,rep10,50,10,0.01,4.0,False,1.4
branin,qnei,11,gaussian,0.25,20,rep10,50,25,0.01,7.0,False,1.28
branin,qnei,11,gaussian,1.0,20,rep10,50,10,0.01,4.0,False,1.4
branin,qnei,11,gaussian,1.0,20,rep10,50,25,0.01,7.0,False,1.28
branin,qnei,11,gaussian,5.0,20,rep10,50,10,0.01,4.0,False,1.4
branin,qnei,11,gaussian,5.0,20,rep10,50,25,0.01,7.0,False,1.28
branin,qnei,7,gaussian,0.05,0,rep10,50,10,0.01,14.0,False,2.4
branin,qnei,7,gaussian,0.05,0,rep10,50,25,0.01,15.0,False,1.6
branin,qnei,7,gaussian,0.25,0,rep10,50,10,0.01,24.0,False,3.4
branin,qnei,7,gaussian,0.25,0,rep10,50,25,0.01,22.0,False,1.88
branin,qnei,7,gaussian,1.0,0,rep10,50,10,0.01,42.0,True,5.2
branin,qnei,7,gaussian,1.0,0,rep10,50,25,0.01,38.0,True,2.52
branin,qnei,7,gaussian,5.0,0,rep10,50,10,0.01,14.0,False,2.4
branin,qnei,7,gaussian,5.0,0,rep10,50,25,0.01,38.0,True,2.52
branin,qnei,7,gaussian,0.05,20,rep10,50,10,0.01,2.0,False,1.2
branin,qnei,7,gaussian,0.05,20,rep10,50,25,0.01,8.0,False,1.32
branin,qnei,7,gaussian,0.25,20,rep10,50,10,0.01,2.0,False,1.2
branin,qnei,7,gaussian,0.25,20,rep10,50,25,0.01,8.0,False,1.32
branin,qnei,7,gaussian,1.0,20,rep10,50,10,0.01,2.0,False,1.2
branin,qnei,7,gaussian,1.0,20,rep10,50,25,0.01,8.0,False,1.32
branin,qnei,7,gaussian,5.0,20,rep10,50,10,0.01,2.0,False,1.2
branin,qnei,7,gaussian,5.0,20,rep10,50,25,0.01,8.0,False,1.32
branin,qnei,8,gaussian,0.05,0,rep10,50,10,0.01,5.0,False,1.5
branin,qnei,8,gaussian,0.05,0,rep10,50,25,0.01,11.0,False,1.44
branin,qnei,8,gaussian,0.25,0,rep10,50,10,0.01,15.0,False,2.5
