objective,acquisition,error_model,jitter_std,jitter_iteration,oracle_model,cohens_d_true,cohens_d_obs,n,interpretation_true,interpretation_obs
composite,pi,gaussian,1.0,10,extra_trees,-0.30731314541123195,0.23146484821320373,10,SMALL,SMALL
composite,pi,gaussian,1.0,20,extra_trees,-0.2960840845344165,-0.2370885423693169,10,SMALL,SMALL
composite,pi,gaussian,1.0,40,extra_trees,-0.15062753114515168,0.40055518181300626,10,negligible,SMALL
composite,pi,gaussian,5.0,10,extra_trees,-0.3806655468270572,-0.6461159904973909,10,SMALL,MEDIUM
composite,pi,gaussian,5.0,20,extra_trees,-0.38872112077385707,-0.5299308909774214,10,SMALL,MEDIUM
composite,pi,gaussian,5.0,40,extra_trees,-0.33346889123746704,0.68889909133107,10,SMALL,MEDIUM
composite,qei,bias,0.05,10,extra_trees,0.04730803668204867,0.1472293442920767,10,negligible,negligible
composite,qei,bias,0.05,20,extra_trees,0.0389217488322128,0.14018140274062602,10,negligible,negligible
composite,qei,bias,0.05,40,extra_trees,0.057698357267206526,0.16157033945263538,10,negligible,negligible
composite,qei,bias,0.5,10,extra_trees,0.0056027656263569585,0.23673882519419964,10,negligible,SMALL
composite,qei,bias,0.5,20,extra_trees,0.09627195828452377,0.1053714400570506,10,negligible,negligible
composite,qei,bias,0.5,40,extra_trees,0.17899468180882003,0.39367951589798034,10,negligible,SMALL
composite,qei,bias,1.0,10,extra_trees,-0.10795142750054523,0.19109825673536787,10,negligible,negligible
composite,qei,bias,1.0,20,extra_trees,-0.09925384036727598,-0.5535280068595583,10,negligible,MEDIUM
composite,qei,bias,1.0,40,extra_trees,-0.025092928810193236,-0.16175324050695505,10,negligible,negligible
composite,qei,bias,5.0,10,extra_trees,0.011489870334851758,0.6416927452255214,10,negligible,MEDIUM
composite,qei,bias,5.0,20,extra_trees,-0.09548681582579495,0.48777529026543265,10,negligible,SMALL
composite,qei,bias,5.0,40,extra_trees,-0.07476498268525729,0.32606157519338963,10,negligible,SMALL
composite,qei,gaussian,0.05,10,extra_trees,0.13884179150393172,0.14881295972739314,10,negligible,negligible
composite,qei,gaussian,0.05,20,extra_trees,-0.10096444157375652,-0.09122094498982622,10,negligible,negligible
composite,qei,gaussian,0.05,40,extra_trees,0.02354409559884649,0.017808998688114117,10,negligible,negligible
composite,qei,gaussian,0.5,10,extra_trees,-0.05366605484533054,0.0058163152639818475,10,negligible,negligible
composite,qei,gaussian,0.5,20,extra_trees,0.07509907722901074,-0.11128027896378385,10,negligible,negligible
composite,qei,gaussian,0.5,40,extra_trees,0.24924321583606568,0.2526767797730395,10,SMALL,SMALL
composite,qei,gaussian,1.0,10,extra_trees,0.004573262350911914,0.1974078357524293,10,negligible,negligible
composite,qei,gaussian,1.0,20,extra_trees,0.006337206829882025,0.5937897725472143,10,negligible,MEDIUM
composite,qei,gaussian,1.0,40,extra_trees,0.11386992487873228,0.39776162347661614,10,negligible,SMALL
composite,qei,gaussian,5.0,10,extra_trees,-0.054757300510858045,-0.4657931321607538,10,negligible,SMALL
composite,qei,gaussian,5.0,20,extra_trees,0.02225593490632454,-0.5841054739072713,10,negligible,MEDIUM
composite,qei,gaussian,5.0,40,extra_trees,-0.052089701118572494,-0.9262359997521575,10,negligible,LARGE
composite,qnei,bias,0.05,10,extra_trees,-0.013546579706668463,0.10675086437089201,10,negligible,negligible
composite,qnei,bias,0.05,20,extra_trees,-0.22273073006397137,-0.11508299843978669,10,SMALL,negligible
